name,topic,topic2
창6:10,홍수 심판의 예고와 노아의 방주,당대의 의인 노아
창6:11,홍수 심판의 예고와 노아의 방주,당대의 의인 노아
창6:12,홍수 심판의 예고와 노아의 방주,당대의 의인 노아
창6:13,홍수 심판의 예고와 노아의 방주,노아의 방주
창6:14,홍수 심판의 예고와 노아의 방주,노아의 방주
창6:15,홍수 심판의 예고와 노아의 방주,노아의 방주
창6:16,홍수 심판의 예고와 노아의 방주,노아의 방주
창6:17,홍수 심판의 예고와 노아의 방주,노아의 방주
창6:18,홍수 심판의 예고와 노아의 방주,노아의 방주
"창6:19,20",홍수 심판의 예고와 노아의 방주,노아의 방주
"창6:21,22",홍수 심판의 예고와 노아의 방주,노아의 방주
창7:1,대홍수 심판,하나님의 구원 계획
창7:2,대홍수 심판,하나님의 구원 계획
창7:3,대홍수 심판,하나님의 구원 계획
창7:4,대홍수 심판,하나님의 구원 계획
창7:5,대홍수 심판,하나님의 구원 계획
창7:6,대홍수 심판,홍수의 시작
창7:7,대홍수 심판,홍수의 시작
"창7:9,10",대홍수 심판,홍수의 시작
창7:11,대홍수 심판,홍수의 시작
창7:12,대홍수 심판,홍수의 시작
창7:13,대홍수 심판,방주 속의 생명들
창7:14,대홍수 심판,방주 속의 생명들
창7:15,대홍수 심판,방주 속의 생명들
창7:16,대홍수 심판,방주 속의 생명들
"창7:17,18",대홍수 심판,40일간의 대홍수
창7:19,대홍수 심판,40일간의 대홍수
창7:20,대홍수 심판,40일간의 대홍수
"창7:21,22",대홍수 심판,40일간의 대홍수
창7:23,대홍수 심판,40일간의 대홍수
창7:24,대홍수 심판,40일간의 대홍수
창8:1,홍수의 멈춤과 지면의 회복,아라랏 산에 머문 방주
창8:2,홍수의 멈춤과 지면의 회복,아라랏 산에 머문 방주
창8:3,홍수의 멈춤과 지면의 회복,이라랏 산에 머문 방주
창8:4,홍수의 멈춤과 지면의 회복,아라랏 산에 머문 방주
창8:5,홍수의 멈춤과 지면의 회복,아라랏 산에 머문 범주
창8:6,홍수의 멈춤과 지면의 회복,까마귀와 비둘기
창8:7,홍수의 멈춤과 지면의 회복,까마귀와 비둘기
창8:8,홍수의 멈춤과 지면의 회복,까마귀와 비둘기
창8:9,홍수의 멈춤과 지면의 회복,까마귀와 비둘기
창8:10,홍수의 멈춤과 지면의 회복,까마귀와 비둘기
창8:11,홍수의 멈춤과 지면의 회복,까마귀와 비둘기
창8:12,홍수의 멈춤과 지면의 회복,까마귀와 비둘기
창8:13,홍수의 멈춤과 지면의 회복,방주 밖으로 나온 생명들
창8:14,홍수의 멈춤과 지면의 회복,방주 밖으로 나온 생명들
창8:15,홍수의 멈춤과 지면의 회복,방주 밖으로 나온 생명들
창8:16,홍수의 멈춤과 지면의 회복,방주 밖으로 나온 생명들
창8:17,홍수의 멈춤과 지면의 회복,방주 밖으로 나온 생명들
창8:18,홍수의 멈춤과 지면의 회복,방주 밖으로 나온 생명들
창8:19,홍수의 멈춤과 지면의 회복,방주 밖으로 나온 생명들
창8:20,홍수의 멈춤과 지면의 회복,노아 제단 및 여호와의 언약
창8:21,홍수의 멈춤과 지면의 회복,노아의 제단 및 여호와의 언약
창8:22,홍수의 멈춤과 지면의 회복,노아의 제단 및 여호와의 언약
창9:1,무지개 언약과 노아의 실수,노아를 향한 하나님의 축복
창9:2,무지개 언약과 노아의 실수,노아를 향한 하나님의 축복
창9:3,무지개 언약과 노아의 실수,노아를 향한 하나님의 축복
창9:4,무지개 언약과 노아의 실수,피의 금령
창9:5,무지개 언약과 노아의 실수,피의 금령
창9:6,무지개 언약과 노아의 실수,피의 금령
창9:7,무지개 언약과 노아의 실수,피의 금령
창9:8,무지개 언약과 노아의 실수,무지개 언약
창9:9,무지개 언약과 노아의 실수,무지개 언약
창9:10,무지개 언약과 노아의 실수,무지개 언약
창9:11,무지개 언약과 노아의 실수,무지개 언약
창9:12,무지개 언약과 노아의 실수,무지개 언약
창9:13,무지개 언약과 노아의 실수,무지개 언약
창9:14,무지개 언약과 노아의 실수,무지개 언약
창9:15,무지개 언약과 노아의 실수,무지개 언약
창9:16,무지개 언약과 노아의 실수,무지개 언약
창9:17,무지개 언약과 노아의 실수,무지개 언약
창9:18,무지개 언약과 노아의 실수,노아의 세아들
창9:19,무지개 언약과 노아의 실수,노아의 세아들
창9:20,무지개 언약과 노아의 실수,노아의 세아들
창9:21,무지개 언약과 노아의 실수,노아의 세아들
창9:22,무지개 언약과 노아의 실수,노아의 세아들
창9:23,무지개 언약과 노아의 실수,노아의 세아들
창9:24,무지개 언약과 노아의 실수,노아의 축복과 저주
창9:25,무지개 언약과 노아의 실수,노아의 축복과 저주
창9:26,무지개 언약과 노아의 실수,노아의 축복과 저주
창9:27,무지개 언약과 노아의 실수,노아의 축복과 저주
창10:1,노아 아들들의 후예와 인류의 확산,야벳의 계보
창10:2,노아 아들들의 후예와 인류의 확산,야벳의 계보
창10:3,노아 아들들의 후예와 인류의 확산,야벳의 계보
창10:4,노아 아들들의 후예와 인류의 확산,야벳의 계보
창10:5,노아 아들들의 후예와 인류의 확산,야벳의 계보
창10:6,노아 아들들의 후예와 인류의 확산,함의 계보
창10:7,노아 아들들의 후예와 인류의 확산,함의 계보
창10:8,노아 아들들의 후예와 인류의 확산,함의 계보
창10:9,노아 아들들의 후예와 인류의 확산,함의 계보
창10:10,노아 아들들의 후예와 인류의 확산,함의 계보
"창10:11,12",노아 아들들의 후예와 인류의 확산,함의 계보
창10:14,노아 아들들의 후예와 인류의 확산,함의 계보
창10:16,노아 아들들의 후예와 인류의 확산,가나안의 자손
창10:17,노아 아들들의 후예와 인류의 확산,가나안의 자손
창10:18,노아 아들들의 후예와 인류의 확산,가나안의 자손
창10:19,노아 아들들의 후예와 인류의 확산,가나안의 자손
창10:21,노아 아들들의 후예와 인류의 확산,셈의 계보
창10:22,노아 아들들의 후예와 인류의 확산,셈의 계보
창10:23,노아 아들들의 후예와 인류의 확산,셈의 계보
창10:25,노아 아들들의 후예와 인류의 확산,셈의 계보
창10:26,노아 아들들의 후예와 인류의 확산,셈의 계보
창10:27,노아 아들들의 후예와 인류의 확산,셈의 계보
창10:29,노아 아들들의 후예와 인류의 확산,셈의 계보
창10:31,노아 아들들의 후예와 인류의 확산,셈의 계보
창11:1,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:2,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:3,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:4,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:5,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:6,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:7,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:8,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:9,바벨탑 사건과 인류의 분산,바벨탑 사건
창11:10-26,바벨탑 사건과 인류의 분산,셈의 후예
"창11:12,13",바벨탑 사건과 인류의 분산,셈의 후예
창11:18,바벨탑 사건과 인류의 분산,셈의 후예
창11:26,바벨탑 사건과 인류의 분산,셈의 후예
창11:27,바벨탑 사건과 인류의 분산,데라의 가족
창11:28,바벨탑 사건과 인류의 분산,데라의 가족
창11:29,바벨탑 사건과 인류의 분산,데라의 가족
창11:30,바벨탑 사건과 인류의 분산,데라의 가족
창11:31,바벨탑 사건과 인류의 분산,하란으로의 이주
창12:1,아브람의 소명 및 사래 사건,아브람의 소명
창12:2,아브람의 소명 및 사래 사건,아브람의 소명
창12:3,아브람의 소명 및 사래 사건,아브람의 소명
창12:4,아브람의 소명 및 사래 사건,가나안으로 향하는 아브람
창12:5,아브람의 소명 및 사래 사건,가나안으로 향하는 아브람
창12:6,아브람의 소명 및 사래 사건,가나안으로 향하는 아브람
창12:7,아브람의 소명 및 사래 사건,가나안으로 향하는 아브람
창12:8,아브람의 소명 및 사래 사건,가나안으로 향하는 아브람
창12:9,아브람의 소명 및 사래 사건,가나안으로 향하는 아브람
창12:10,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:11,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:12,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:13,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:14,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:15,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:16,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:17,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
"창12:18,19",아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창12:20,아브람의 소명 및 사래 사건,아브람의 아내 사래 사건
창13:1,아브람과 롯의 분리,가나안으로의 귀환
창13:2,아브람과 롯의 분리,가나안으로의 귀환
창13:3,아브람과 롯의 분리,가나안으로의 귀환
창13:4,아브람과 롯의 분리,가나안으로의 귀환
창13:5,아브람과 롯의 분리,아브람과 롯의 분가(分家)
창13:6,아브람과 롯의 분리,아브람과 롯의 분가(分家)
창13:7,아브람과 롯의 분리,아브람과 롯의 분가(分家)
창13:8,아브람과 롯의 분리,아브람과 롯의 분가(分家)
창13:9,아브람과 롯의 분리,아브람과 롯의 분가(分家)
창13:10,아브람과 롯의 분리,소돔을 택한 롯
창13:11,아브람과 롯의 분리,소돔을 택한 롯
창13:12,아브람과 롯의 분리,소돔을 택한 롯
창13:13,아브람과 롯의 분리,소돔을 택한 롯
창13:14,아브람과 롯의 분리,아브람을 향한 하나님의 뜻
창13:15,아브람과 롯의 분리,아브람을 향한 하나님의 뜻
창13:16,아브람과 롯의 분리,아브람을 향한 하나님의 뜻
창13:17,아브람과 롯의 분리,아브람을 향한 하나님의 뜻
창13:18,아브람과 롯의 분리,아브람을 향한 하나님의 뜻
창14:1,가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
창14:2,가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
창14:3,가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
창14:4,가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
창14:5,가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
창14:6,가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
창14:7,가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
"창14:8,9,10",가나안 전쟁과 살렘 왕 멜기세덱,최초의 가나안 전쟁
"창14:11,12",가나안 전쟁과 살렘 왕 멜기세덱,사로잡힌 롯
창14:13,가나안 전쟁과 살렘 왕 멜기세덱,롯을 구한 아브람
창14:14,가나안 전쟁과 살렘 왕 멜기세덱,롯을 구한 아브람
창14:15,가나안 전쟁과 살렘 왕 멜기세덱,롯을 구한 아브람
창14:16,가나안 전쟁과 살렘 왕 멜기세덱,롯을 구한 아브람
창14:17,가나안 전쟁과 살렘 왕 멜기세덱,살렘 왕 멜기세덱
창14:18,가나안 전쟁과 살렘 왕 멜기세덱,살렘 왕 멜기세덱
창14:19,가나안 전쟁과 살렘 왕 멜기세덱,살렘 왕 멜기세덱
창14:20,가나안 전쟁과 살렘 왕 멜기세덱,살렘 왕 멜기세덱
창14:21,가나안 전쟁과 살렘 왕 멜기세덱,소돔왕의 환대
창14:22,가나안 전쟁과 살렘 왕 멜기세덱,소돔왕의 환대
창14:23,가나안 전쟁과 살렘 왕 멜기세덱,소돔왕의 환대
창14:24,가나안 전쟁과 살렘 왕 멜기세덱,소돔왕의 환대
창15:1,아브람과 맺은 하나님의 횃불 언약,후사(後嗣)에 대한 약속
창15:2,아브람과 맺은 하나님의 횃불 언약,후사(後嗣)에 대한 약속
창15:3,아브람과 맺은 하나님의 횃불 언약,후사(後嗣)에 대한 약속
창15:4,아브람과 맺은 하나님의 횃불 언약,후사(後嗣)에 대한 약속
창15:5,아브람과 맺은 하나님의 횃불 언약,후사(後嗣)에 대한 약속
창15:6,아브람과 맺은 하나님의 횃불 언약,언약체결을 위한 준비
창15:7,아브람과 맺은 하나님의 횃불 언약,언약체결을 위한 준비
창15:8,아브람과 맺은 하나님의 횃불 언약,언약체결을 위한 준비
창15:9,아브람과 맺은 하나님의 횃불 언약,언약체결을 위한 준비
창15:10,아브람과 맺은 하나님의 횃불 언약,언약체결을 위한 준비
창15:11,아브람과 맺은 하나님의 횃불 언약,언약체결을 위한 준비
창15:12,아브람과 맺은 하나님의 횃불 언약,이스라엘의 애굽 노예생활 예언
창15:13,아브람과 맺은 하나님의 횃불 언약,이스라엘의 애굽 노예생활 예언
창15:14,아브람과 맺은 하나님의 횃불 언약,이스라엘의 애굽 노예생활 예언
창15:15,아브람과 맺은 하나님의 횃불 언약,이스라엘의 애굽 노예생활 예언
창15:16,아브람과 맺은 하나님의 횃불 언약,이스라엘의 애굽 노예생활 예언
창15:17,아브람과 맺은 하나님의 횃불 언약,이스라엘에게 주어질 가나안 영토
창15:18,아브람과 맺은 하나님의 횃불 언약,이스라엘에게 주어질 가나안 영토
"창15:19,20,21",아브람과 맺은 하나님의 횃불 언약,이스라엘에게 주어질 가나안 영토
창16:1,하갈과 이스마엘,아브람의 첩이 된 하갈
창16:2,하갈과 이스마엘,아브람의 첩이 된 하갈
창16:3,하갈과 이스마엘,아브람의 첩이 된 하갈
창16:4,하갈과 이스마엘,하갈의 교만
창16:5,하갈과 이스마엘,하갈의 교만
창16:6,하갈과 이스마엘,하갈의 교만
창16:7,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:8,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:9,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:10,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:11,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:12,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:13,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:14,하갈과 이스마엘,방황하는 하갈과 여호와의 사자
창16:15,하갈과 이스마엘,이스마엘의 출생
창17:1,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:2,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:3,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:4,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:5,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:6,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:7,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:8,아브람의 개명과 언약의 표징-할례,열국의 아비 아브라함
창17:9,아브람의 개명과 언약의 표징-할례,할례 명령
"창17:10,11",아브람의 개명과 언약의 표징-할례,할례 명령
창17:12,아브람의 개명과 언약의 표징-할례,할례 명령
창17:13,아브람의 개명과 언약의 표징-할례,할례 명령
창17:14,아브람의 개명과 언약의 표징-할례,할례 명령
창17:15,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
창17:16,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
창17:17,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
창17:18,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
창17:19,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
창17:20,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
창17:21,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
창17:22,아브람의 개명과 언약의 표징-할례,사래의 개명(改名)과 이삭 탄생 예언
"창17:23,24,25,26,27",아브람의 개명과 언약의 표징-할례,준행된 할례의식
창17:24,아브람의 개명과 언약의 표징-할례,준행된 할례의식
창17:25,아브람의 개명과 언약의 표징-할례,준행된 할례의식
창18:1,세 천사의 방문과 아브라함의 중보,천사를 영접한 아브라함
창18:2,세 천사의 방문과 아브라함의 중보,천사를 영접한 아브라함
창18:3,세 천사의 방문과 아브라함의 중보,천사를 영접한 아브라함
창18:4,세 천사의 방문과 아브라함의 중보,천사를 영접한 아브라함
창18:5,세 천사의 방문과 아브라함의 중보,천사를 영접한 아브라함
창18:6,세 천사의 방문과 아브라함의 중보,천사를 영접한 아브라함
창18:8,세 천사의 방문과 아브라함의 중보,천사를 영접한 아브라함
창18:9,세 천사의 방문과 아브라함의 중보,거듭된 이삭 탄생 예언
창18:10,세 천사의 방문과 아브라함의 중보,거듭된 이삭 탄생 예언
"창18:11,12",세 천사의 방문과 아브라함의 중보,거듭된 이삭 탄생 예언
창18:13,세 천사의 방문과 아브라함의 중보,거듭된 이삭 탄생 예언
창18:14,세 천사의 방문과 아브라함의 중보,거듭된 이삭 탄생 예언
창18:15,세 천사의 방문과 아브라함의 중보,거듭된 이삭 탄생 예언
창18:16,세 천사의 방문과 아브라함의 중보,소돔에 대한 심판 예언
창18:17,세 천사의 방문과 아브라함의 중보,소돔에 대한 심판 예언
창18:18,세 천사의 방문과 아브라함의 중보,소돔에 대한 심판 예언
창18:19,세 천사의 방문과 아브라함의 중보,소돔에 대한 심판 예언
창18:20,세 천사의 방문과 아브라함의 중보,소돔에 대한 심판 예언
창18:21,세 천사의 방문과 아브라함의 중보,소돔에 대한 심판 예언
창18:23,세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
창18:24,세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
창18:25,세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
창18:26,세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
창18:27,세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
"창18:28,29,30,31,32",세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
창18:32,세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
창18:33,세 천사의 방문과 아브라함의 중보,아브라함의 간절한 중보기도
창19:1,소돔과 고모라의 멸망,천사를 영접한 롯
창19:2,소돔과 고모라의 멸망,천사를 영접한 롯
창19:3,소돔과 고모라의 멸망,천사를 영접한 롯
창19:4,소돔과 고모라의 멸망,패역한 소돔거민
창19:5,소돔과 고모라의 멸망,패역한 소돔거민
창19:6,소돔과 고모라의 멸망,패역한 소돔거민
"창19:7,8",소돔과 고모라의 멸망,패역한 소돔거민
창19:8,소돔과 고모라의 멸망,패역한 소돔거민
창19:9,소돔과 고모라의 멸망,패역한 소돔거민
창19:10,소돔과 고모라의 멸망,패역한 소돔거민
창19:11,소돔과 고모라의 멸망,패역한 소돔거민
"창19:12,13",소돔과 고모라의 멸망,소돔 심판 예고
창19:14,소돔과 고모라의 멸망,소돔 심판 예고
창19:15,소돔과 고모라의 멸망,소돔 심판 예고
창19:16,소돔과 고모라의 멸망,롯에 대한 하나님의 은총
창19:17,소돔과 고모라의 멸망,롯에 대한 하나님의 은총
창19:19,소돔과 고모라의 멸망,롯에 대한 하나님의 은총
창19:20,소돔과 고모라의 멸망,롯에 대한 하나님의 은총
창19:21,소돔과 고모라의 멸망,롯에 대한 하나님의 은총
창19:22,소돔과 고모라의 멸망,롯에 대한 하나님의 은총
창19:23,소돔과 고모라의 멸망,소돔과 고모라의 멸망
창19:24,소돔과 고모라의 멸망,소돔과 고모라의 멸망
창19:25,소돔과 고모라의 멸망,소돔과 고모라의 멸망
창19:26,소돔과 고모라의 멸망,소돔과 고모라의 멸망
"창19:27,28",소돔과 고모라의 멸망,소돔과 고모라의 멸망
창19:29,소돔과 고모라의 멸망,소돔과 고모라의 멸망
창19:30,소돔과 고모라의 멸망,모압족과 암몬족의 기원
창19:31,소돔과 고모라의 멸망,모압족과 암몬족의 기원
창19:32,소돔과 고모라의 멸망,모압족과 암몬족의 기원
"창19:33,34,35",소돔과 고모라의 멸망,모압족과 암몬족의 기원
창19:36,소돔과 고모라의 멸망,모압족과 암몬족의 기원
"창19:37,38",소돔과 고모라의 멸망,모압족과 암몬족의 기원
창20:1,아브라함과 그랄 왕 아비멜렉,아브라함의 불신앙적 행위
창20:2,아브라함과 그랄 왕 아비멜렉,아브라함의 불신앙적 행위
창20:3,아브라함과 그랄 왕 아비멜렉,아브라함의 불신앙적 행위
창20:4,아브라함과 그랄 왕 아비멜렉,아브라함의 불신앙적 행위
창20:5,아브라함과 그랄 왕 아비멜렉,아브라함의 불신앙적 행위
"창20:6,7",아브라함과 그랄 왕 아비멜렉,아브라함의 불신앙적 행위
창20:8,아브라함과 그랄 왕 아비멜렉,아비멜렉의 책망
출38:18,성막 뜰의 기구들과 총 성막 재료,성막 뜰 축조
출38:19,성막 뜰의 기구들과 총 성막 재료,성막 뜰 축조
출38:20,성막 뜰의 기구들과 총 성막 재료,성막 뜰 축조
출38:21,성막 뜰의 기구들과 총 성막 재료,성소 건축의 직능자들
"출38:22,23",성막 뜰의 기구들과 총 성막 재료,성소 건축의 직능자들
