idx,ko,en,ko_topic,en_topic
14,대하,2Chr,솔로몬의 이스라엘 통치 이야기,"David’s son Solomon builds the temple, but after centuries of rejecting God, the Babylonians take the southern Israelites captive and destroy the temple."
15,스,Ezra,"이스라엘 백성들의 귀국과 스룹바벨에 의한 성전 건축, 율법정착","The Israelites rebuild the temple in Jerusalem, and a scribe named Ezra teaches the people to once again obey God’s laws."
16,느,Neh,"적들의 방해에도 불구하고, 불에 탄 예루살렘 성곽을 재건함","The city of Jerusalem is in bad shape, so Nehemiah rebuilds the wall around the city."
17,에,Esth,이스라엘을 향한 하나님의 은밀하신 보호하심,"Someone hatches a genocidal plot to bring about Israel’s extinction, and Esther must face the emperor to ask for help."
18,욥,Job,인간의 한계성과 하나님께서 거룩한 사람을 다루는 목적,"Satan attacks a righteous man named Job, and Job and his friends argue about why terrible things are happening to him."
19,시,Ps,하나님을 향한 찬미와 기쁨의 찬양,A collection of 150 songs that Israel sang to God (and to each other)—kind of like a hymnal for the ancient Israelites.
20,잠,Prov,인생의 지혜는 여호와를 경외하는 것,A collection of sayings written to help people make wise decisions that bring about justice.
21,전,Eccl,"인생을 지으신 창조주를 기억하지 않으면, 모든 것이 헛됨",A philosophical exploration of the meaning of life—with a surprisingly nihilistic tone for the Bible.
22,아,Song,솔로몬과 술람미 여인과의 사랑의 노래,"A love song (or collection of love songs) celebrating love, desire, and marriage."
23,사,Isa,"이스라엘 남북 왕국, 60년 동안 활동한 이사야의 예언",God sends the prophet Isaiah to warn Israel of future judgment—but also to tell them about a coming king and servant who will “bear the sins of many.”
24,렘,Jer,몰락 직전에 있는 조국을 구출하려고 눈물로 회개를 촉구함,"God sends a prophet to warn Israel about the coming Babylonian captivity, but the people don’t take the news very well."
25,애,Lam,하나님의 거룩한 성과 백성에 대한 예레미야의 슬픔과 사랑의 표현,A collection of dirges lamenting the fall of Jerusalem after the Babylonian attacks.
26,겔,Ezek,"BC 597년 포로로 잡혀간 제사장 에스겔, 바빌로니아에서 받은 예언을 기록함","God chooses a man to speak for Him to Israel, to tell them the error of their ways and teach them justice: Ezekiel."
27,단,Dan,바빌로니아로 잡혀간 다니엘의 이야기,"Daniel becomes a high-ranking wise man in the Babylonian and Persian empires, and has prophetic visions concerning Israel’s future."
28,호,Hos,"BC 722년 북 왕국 멸망전 40년간 활동한 호세아, 하나님의 마음에 대해 설교","Hosea is told to marry a prostitute who leaves him, and he must bring her back: a picture of God’s relationship with Israel."
29,욜,Joel,이스라엘 백성들에게 재난을 선언하다.,"God sends a plague of locusts to Judge Israel, but his judgment on the surrounding nations is coming, too."
30,암,Amos,"유다, 이스라엘, 주변국들에 대한 하나님의 심판과 이스라엘의 회복",A shepherd named Amos preaches against the injustice of the Northern Kingdom of Israel.
31,옵,Obad,에서의 후손인에돔의 멸망에 대한 예언,Obadiah warns the neighboring nation of Edom that they will be judged for plundering Jerusalem.
32,욘,Jonah,여호와의 구원은 이방인의 성 니느웨까지,"A disobedient prophet runs from God, is swallowed by a great fish, and then preaches God’s message to the city of Nineveh."
33,미,Mic,이스라엘 대한 여호와의 책망과 이스라엘의 회복,"Micah confronts the leaders of Israel and Judah regarding their injustice, and prophecies that one day the Lord himself will rule in perfect justice."
34,나,Nah,앗수르의 수도인 니느웨에 대한 여호와의 심판,"Nahum foretells of God’s judgment on Nineveh, the capital of Assyria."
35,합,Hab,하나님의 의로운 심판,"Habakkuk pleads with God to stop the injustice and violence in Judah, but is surprised to find that God will use the even more violent Babylonians to do so."
36,습,Zeph,이스라엘과 열국에 대한 여호와의 심판과 이방인들과 이스라엘 대한 구원,"God warns that he will judge Israel and the surrounding nations, but also that he will restore them in peace and justice."
37,학,Hag,여호와께서 그분의 전을 건축하기 위해 귀환한 포로들을 다루심,"The people have abandoned the work of restoring God’s temple in Jerusalem, and so Haggai takes them to task."
38,슥,Zech,"학개와 동시대의 사람이었던 스가랴, 사로잡히었다가 귀환한 사람들에게 예언","The prophet Zechariah calls Israel to return to God, and records prophetic visions that show what’s happening behind the scenes."
39,말,Mal,"포로 귀한 후 100년이 지난 뒤, 백성들의 신앙과 생활을 개선하기를 촉구하다.","God has been faithful to Israel, but they continue to live disconnected from him—so God sends Malachi to call them out."
40,마,Matt,"마태, 예수 그리스도는 왕 중의 왕, 전 인류의 구세주라는 사실을 온 세상 사람들에게 전함","This is an account of Jesus’ life, death, and resurrection, focusing on Jesus’ role as the true king of the Jews."
41,막,Mark,십자가에서 돌아가신 예수를 믿는 사람은 구원을 얻음,This brief account of Jesus’ earthly ministry highlights Jesus’ authority and servanthood.
42,눅,Luke,"이방인들을 위한 책, 완전한 사람이고, 완전한 하나님이신 예수 그리스도","Luke writes the most thorough account of Jesus’ life, pulling together eyewitness testimonies to tell the full story of Jesus."
43,요,John,하나님의 아들이신 예수 그리스도,John lists stories of signs and miracles with the hope that readers will believe in Jesus.
44,행,Acts,교회 탄생의 목격자인 누가의 증언,"Jesus returns to the Father, the Holy Spirit comes to the church, and the gospel of Jesus spreads throughout the world."
45,롬,Rom,믿음으로 말미암아 사람이 의롭게 된다.,"Paul summarizes how the gospel of Jesus works in a letter to the churches at Rome, where he plans to visit."
46,고전,1Cor,"교회의 무질서에 대한 바울의 편지, 그리스도의 십자가는 교회안의 문제에 대한 해답","Paul writes a disciplinary letter to a fractured church in Corinth, and answers some questions that they’ve had about how Christians should behave."
47,고후,2Cor,바울 자신이 사도권을 변호하기 위해 쓴 편지,"Paul writes a letter of reconciliation to the church at Corinth, and clears up some concerns that they have."
48,갈,Gal,구원을 받는 것은 율법이 아닌 믿음으로 말미암아 된다.,"Paul hears that the Galatian churches have been lead to think that salvation comes from the law of Moses, and writes a (rather heated) letter telling them where the false teachers have it wrong."
49,엡,Eph,"유대인과 이방인들 사이의 의견 대립, 에베소 교인들에게 교회의 단결을 호소함","Paul writes to the church at Ephesus about how to walk in grace, peace, and love."
50,빌,Phil,"유럽 최초의 교회, 빌립보교회에 대한 바울의 권면","An encouraging letter to the church of Philippi from Paul, telling them how to have joy in Christ."
51,골,Col,예수 그리스도는 하나님의 형상이시고 교회의 머리되신다.,"Paul writes the church at Colossae a letter about who they are in Christ, and how to walk in Christ."
52,살전,1Thess,"데살로니가 그리스도인들에게 향한 바울의 격려, 하나님을 섬기고, 주님의 재림을 기다리는 생활","Paul has heard a good report on the church at Thessalonica, and encourages them to “excel still more” in faith, hope, and love."
53,살후,2Thess,주님의 재림을 대하는 그리스도인의 태도,Paul instructs the Thessalonians on how to stand firm until the coming of Jesus.
54,딤전,1Tim,"에베소를 맡은 청년 목사, 디모데에게 목회자의 자세, 교회 운영, 가정과 사회에 관하여 편지함",Paul gives his protegé Timothy instruction on how to lead a church with sound teaching and a godly example.
55,딤후,2Tim,"순교직전 바울, 믿음의 아들 디모데에게 보내는 유언장 같은 편지","Paul is nearing the end of his life, and encourages Timothy to continue preaching the word."
56,딛,Titus,크레테 교회를 지도하고 있는 유능한 청년 목사 디도에게 보내는 바울의 편지,"Paul advises Titus on how to lead orderly, counter-cultural churches on the island of Crete."
57,몬,Phlm,도망간 오네시모에 대한 용서를 구함,"Paul strongly recommends that Philemon accept his runaway slave as a brother, not a slave."
58,히,Heb,"구원은 율법을 지켜서가 아니라, 예수 그리스도를 믿는 믿음으로써만 된다고 유대인들에게 강조함","A letter encouraging Christians to cling to Christ despite persecution, because he is greater."
59,약,Jas,선한 사업,A letter telling Christians to live in ways that demonstrate their faith in action.
60,벧전,1Pet,박해를 당하고 있는 교회에게,"Peter writes to Christians who are being persecuted, encouraging them to testify to the truth and live accordingly."
61,벧후,2Pet,교회안의 이단에 대한 경계,"Peter writes a letter reminding Christians about the truth of Jesus, and warning them that false teachers will come."
62,요일,1John,"그리스도의 참 사랑, 신성한 생명의 교통","John writes a letter to Christians about keeping Jesus’ commands, loving one another, and important things they should know."
63,요이,2John,거짓 선생에 대한 경고,"A very brief letter about walking in truth, love, and obedience."
64,요삼,3John,요한의 동역자가 배척,An even shorter letter about Christian fellowship.
65,유,Jude,영지주의에 대한 복음의 진리를 가지고 변증,"A letter encouraging Christians to contend for the faith, even though ungodly persons have crept in unnoticed."
66,계,Rev,"그리스도의 궁극적 승리, 새 예루살렘","John sees visions of things that have been, things that are, and things that are yet to come."
